bin_deg,gauquelin_extracted_norm,Sun_residual_sigma30_norm,Moon_residual_sigma30_norm,Mercury_residual_sigma30_norm,Venus_residual_sigma30_norm,Mars_residual_sigma30_norm,Jupiter_residual_sigma30_norm,Saturn_residual_sigma30_norm,Uranus_residual_sigma30_norm,Neptune_residual_sigma30_norm,Pluto_residual_sigma30_norm,Rahu_residual_sigma30_norm
86,-1.352886e-01,-1.137216e-01,+5.353017e-02,-3.258949e-02,+1.667991e-01,-2.898100e-01,+5.348721e-01,+2.861834e-01,+5.522786e-01,+9.989273e-01,+5.035042e-01,+2.527187e-01
87,-1.352886e-01,-1.282965e-01,+4.339082e-02,-4.918497e-02,+1.561958e-01,-2.907329e-01,+5.532298e-01,+2.753713e-01,+5.667211e-01,+1.000000e+00,+4.927861e-01,+2.377610e-01
88,-1.163671e-01,-1.426272e-01,+3.328371e-02,-6.576195e-02,+1.458645e-01,-2.916066e-01,+5.701024e-01,+2.636796e-01,+5.802026e-01,+9.995071e-01,+4.821980e-01,+2.231831e-01
89,-9.744560e-02,-1.566786e-01,+2.320263e-02,-8.226837e-02,+1.358413e-01,-2.924447e-01,+5.857489e-01,+2.520815e-01,+5.929159e-01,+9.980786e-01,+4.727483e-01,+2.092601e-01
90,-9.744560e-02,-1.705019e-01,+1.313149e-02,-9.872684e-02,+1.260930e-01,-2.933412e-01,+5.998146e-01,+2.395396e-01,+6.045729e-01,+9.951619e-01,+4.626697e-01,+1.957061e-01
91,-7.852412e-02,-1.840831e-01,+3.053645e-03,-1.151129e-01,+1.166149e-01,-2.942231e-01,+6.122095e-01,+2.265687e-01,+6.152969e-01,+9.907700e-01,+4.526996e-01,+1.824460e-01
92,-7.852412e-02,-1.974455e-01,-7.023288e-03,-1.314185e-01,+1.074121e-01,-2.951730e-01,+6.231484e-01,+2.129771e-01,+6.247129e-01,+9.857818e-01,+4.427464e-01,+1.696028e-01
93,-5.960265e-02,-2.105961e-01,-1.712438e-02,-1.476557e-01,+9.847843e-02,-2.962565e-01,+6.324063e-01,+1.987466e-01,+6.329630e-01,+9.793272e-01,+4.333138e-01,+1.572829e-01
94,-5.960265e-02,-2.235227e-01,-2.723832e-02,-1.637669e-01,+8.982295e-02,-2.974719e-01,+6.400246e-01,+1.840277e-01,+6.400265e-01,+9.718464e-01,+4.241102e-01,+1.453657e-01
95,-4.068117e-02,-2.362083e-01,-3.738246e-02,-1.797651e-01,+8.143725e-02,-2.988291e-01,+6.460825e-01,+1.694302e-01,+6.460350e-01,+9.629161e-01,+4.149191e-01,+1.340247e-01
96,-2.175970e-02,-2.487112e-01,-4.757527e-02,-1.956416e-01,+7.330755e-02,-3.003339e-01,+6.504532e-01,+1.545803e-01,+6.504074e-01,+9.523629e-01,+4.057645e-01,+1.230936e-01
97,-2.175970e-02,-2.609326e-01,-5.778109e-02,-2.113317e-01,+6.545820e-02,-3.019321e-01,+6.534153e-01,+1.400785e-01,+6.540281e-01,+9.421122e-01,+3.975653e-01,+1.130902e-01
98,+1.608325e-02,-2.729780e-01,-6.805594e-02,-2.269125e-01,+5.788470e-02,-3.037440e-01,+6.548628e-01,+1.255653e-01,+6.564799e-01,+9.300686e-01,+3.894404e-01,+1.035326e-01
99,+3.500473e-02,-2.848067e-01,-7.837629e-02,-2.423062e-01,+5.055286e-02,-3.057397e-01,+6.547795e-01,+1.112945e-01,+6.578294e-01,+9.177827e-01,+3.818197e-01,+9.471904e-02
100,+5.392621e-02,-2.964751e-01,-8.878877e-02,-2.575541e-01,+4.344115e-02,-3.079515e-01,+6.528835e-01,+9.637207e-02,+6.576738e-01,+9.040729e-01,+3.740281e-01,+8.648392e-02
101,+5.392621e-02,-3.079388e-01,-9.925140e-02,-2.726232e-01,+3.659740e-02,-3.103288e-01,+6.497931e-01,+8.212644e-02,+6.566073e-01,+8.898847e-01,+3.672124e-01,+7.907977e-02
102,+5.392621e-02,-3.192432e-01,-1.098175e-01,-2.875313e-01,+2.996328e-02,-3.129200e-01,+6.450972e-01,+6.759922e-02,+6.542772e-01,+8.738540e-01,+3.601050e-01,+7.214934e-02
103,+5.392621e-02,-3.303862e-01,-1.204623e-01,-3.022291e-01,+2.355883e-02,-3.157151e-01,+6.390661e-01,+5.385866e-02,+6.505920e-01,+8.577388e-01,+3.535318e-01,+6.590544e-02
104,+7.284768e-02,-3.413385e-01,-1.312073e-01,-3.167173e-01,+1.737944e-02,-3.186591e-01,+6.317450e-01,+4.056733e-02,+6.459828e-01,+8.416681e-01,+3.475759e-01,+6.055129e-02
